Date,Closing_Price,SMA20,Daily_Return,Direction,Profit,Signal
2022-09-20,154.46173095703125,,,Flat,0.0,
2022-09-21,151.33116149902344,,-0.02,Down,0.0,
2022-09-22,150.3664093017578,,-0.006,Down,0.0,
2022-09-23,148.09230041503906,,-0.015,Down,0.0,Buy
2022-09-26,148.42703247070312,,0.002,Up,0.0,Hold
2022-09-27,149.401611328125,,0.007,Up,1.3093109130859375,Sell
2022-09-28,147.511474609375,,-0.013,Down,1.3093109130859375,
2022-09-29,140.26583862304688,,-0.049,Down,1.3093109130859375,
2022-09-30,136.0523681640625,,-0.03,Down,1.3093109130859375,Buy
2022-10-03,140.23631286621094,,0.031,Up,1.3093109130859375,Hold
2022-10-04,143.82958984375,,0.026,Up,1.3093109130859375,Hold
2022-10-05,144.1249237060547,,0.002,Up,9.381866455078125,Sell
2022-10-06,143.16998291015625,,-0.007,Down,9.381866455078125,
2022-10-07,137.91297912597656,,-0.037,Down,9.381866455078125,Buy
2022-10-10,138.2378692626953,,0.002,Up,9.706756591796875,Sell
2022-10-11,136.8202362060547,,-0.01,Down,9.706756591796875,
2022-10-12,136.190185546875,,-0.005,Down,9.706756591796875,Buy
2022-10-13,140.76792907714844,,0.034,Up,14.284500122070312,Sell
2022-10-14,136.2295684814453,,-0.032,Down,14.284500122070312,Buy
2022-10-17,140.19696044921875,143.18132324218752,0.029,Up,14.284500122070312,Hold
2022-10-18,141.51609802246094,142.534041595459,0.009,Up,14.284500122070312,Hold
2022-10-19,141.6243896484375,142.0487030029297,0.001,Up,19.6793212890625,Sell
2022-10-20,141.16171264648438,141.588468170166,-0.003,Down,19.6793212890625,Buy
2022-10-21,144.98141479492188,141.43292388916015,0.027,Up,19.6793212890625,Hold
2022-10-24,147.1275177001953,141.36794815063476,0.015,Up,19.6793212890625,Hold
2022-10-25,149.97259521484375,141.3964973449707,0.019,Up,28.490203857421875,Sell
2022-10-26,147.02906799316406,141.37237701416015,-0.02,Down,28.490203857421875,
2022-10-27,142.54978942871094,141.4865745544434,-0.03,Down,28.490203857421875,Buy
2022-10-28,153.31979370117188,142.34994583129884,0.076,Up,39.26020812988281,Sell
